What is the range of [$]\sin^{-1}(x)[/$]	[$]+ \frac{\pi}{2} \rightarrow - \frac{\pi}{2}[/$]
What is the domain of&nbsp;[$]\sin^{-1}(x)[/$]	-1 &lt;= x &lt;= 1
[$$]\sin^{-1}(x)[/$$] crosses the axis at {{c1::0}}?	The Origin
What is the range of&nbsp;[$]\cos^{-1}(x)[/$] ?	[$]0 - \pi[/$]
What is the domain of&nbsp;[$]\cos^{-1}(x)[/$]	-1 &lt;= x &lt;= 1
[$]\cos^{-1}(x)[/$] crosses the y-axis at&nbsp;{{c1::[$]\frac{\pi}{2}[/$]}}	
[$]\cos^{-1}(x)[/$] touches the x-axis at&nbsp;{{c1::1}}	
[$]\cos^{-1}(x)[/$] {{c1::does not}} cross the x-axis	It touches at X = 1
What is the range of&nbsp;[$]\tan^{-1}(x)[/$]?	+ \frac{\pi}{2} \rightarrow - \frac{\pi}{2}
What is the domain of [$$]\tan^{-1}?[/$$]	[$]x \epsilon \mathbb{R}[/$]
[$]\tan^{-1}[/$] crosses the x-axis at {{c1::the origin.}}	
What is the chain rule?	[$$]\frac{\mathrm{d}y }{\mathrm{d}x} = \frac{\mathrm{d}y }{\mathrm{d}u} X \frac{\mathrm{d}u }{\mathrm{d}x}[/$$]
When is the chain rule used?	For a function of a function e.g&nbsp;[$]f(g(x))[/$]
When is the product rule used?	For a function times a function e.g.[$]&nbsp;f(x)g(x)[/$]
What is the derivative of&nbsp;[$]ln(x)[/$]?	[$]\frac{1}{x}[/$]
What is the product rule?	[$]U{V}' + V{U}'[/$]
What is the differential of [$]ln(f(x))[/$]?	[$]\frac{{f}'(x)}{f(x)}[/$]
What is the link between [$]\frac{dy}{dx}[/$] and&nbsp;[$]\frac{dx}{dy}[/$]	[$]\frac{dy}{dx}[/$]&nbsp; = [$]\frac{1}{\frac{dx}{dy}}[/$}
What is the integral when the top differentiates to the bottom? i.e&nbsp;[$$]\frac{f(x)}{{f}'(x)}[/$$]	ln |&nbsp;[$]f(x)[/$] | [$]+ c[/$]
Formula for volume of revolution around the x-axis?	[$]\pi\int y^{2} dx[/$]
Formula for volume of revolution around the y-axis?	[$]\pi\int x^{2} dy[/$]
When a magnet is movied in a coil of wire an {{c1::emf}} is {{c2::induced}} in the wire.	
Electromagnetic induction occurs whenever a &nbsp;{{c1::wire cuts across}} a {{c2::magnetic}} field	
If the wire in which an emf is induced is a {{c1::complete circuit}} then {{c2::electrons}} are forced round.	
The emf induced in a wire can be made greater by {{c3::moving the wire faster}}, making the wire {{c2::into a coil}} &amp; {{c1::using a stronger magnet}}.	
No emf is induced in a wire if the wire is {{c1::parallel to the magnetic}} field.	
For a {{c1::current}} to be induced in the wire it must {{c2::cut lines of force}}.	
When an electric motor is run in reverse it can {{c1::act as a generator}}.	
When motor coils {{c1::turn between}} two poles of a magnet {{c2::emf induced}} in the coil forces {{c3::a current around the circiut}}.	
A dynamo can {{c2::generate electricity}} because it contains a {{c1::spinning magnet}}.	
The emf in a generator is zero when {{c1::there is no motion}}.	
To keep a generator coil spinining {{c1::work}} must be done.	
The induced emf in a wire is {{c1::the energy transferred}} from the source per unit {{c2::charge}} that passes through the source.	
An electric current is the {{c1::charge flow}} per {{c2::second}}.	
Induced emf * {{c2::current}} equals energy transferred p{{c1::er unit charge}}.	
Energy is transferred from the {{c2::induced}} emf to the components of a circuit by an {{c1::electric current}}.	
The Dynamo Rule is also called Flemings {{c1::right hand}} rule.	
Flemings {{c1::right}} hand rule is for {{c2::generators}} not motors.	Left hand rule is for motors.
When a beam of electrons is directed across a field the electron experiences a force at {{c1::right angles to the direction}} of travel.	
Metal contains lots of {{c1::free elec}}trons	
If a metal rod is moved in a magnetic field, {{c2::magnetic}} forces move the {{c1::free}} electrons to one end this makes one end {{c3::negative and one positive}}.	
An AC generator consists of a coil {{c2::spinning}} in a {{c1::uniform magnetic}} field.	
If the coil of an AC generator spins at a steady rate then the {{c1::flux linkage}} changes continuously.	
In an AC generator when the normal to the plane of the coil is at an angle to the flux linkage the flux linkage equals {{c1::BANcos(angle)}}	
The emf induced in an AC generator coil equals {{c1::emf(sin)(2pi)(ft)}}	
In emf(sin)(spi)(ft) the emf is the {{c1::peak}} emf.	This is the formula for induced emf in an AC generator.
The induced emf in a coil is zero when the sides of the coil move {{c1::parallel}} to the field {{c2::lines}}.	
Induced emf in a coil is 0 when the rate of {{c2::change}} of flux is {{c1::also 0}}	
If the coil does not cut any field lines then the induced emf is {{c1::zero}}.	
Induced emf in a coil is a maximum when the sides of the coil cut at {{c1::right angles}} to the {{c2::field}} lines.	
The peak emf induced in a coil = {{c1::2NBlv}}	Where v is {{c2::speed}} and l is {{c3::length}}
The rate at which the magnetic flux is changing is greatest when {{c1::the flux is 0}}	
The rate of change of flux is zero when {{c1::the flux is greatest}}.	
In a power station alternator there are {{c2::3}} coils at {{c1::120}} degress to each other.	
A power station alternators coils produce an AC current emf {{c1::120}} degrees {{c2::out of}} phase with each other.	
Coils in a power station generator are referred to as {{c1::stators}}.	Because they are stationary.
Power station coils do not need {{c2::slip ring}} connectors as an {{c1::electromagnet called a rotor}} spins between them.	
The electromagnet in a power station is supplied by a {{c2::DC}} current which comes from a {{c1::generator}}.	
A power station produces {{c1::3}} phases of {{c2::AC}} power.	
Back emf acts against {{c1::the potential difference (pd)}}	
For back emf: V-{{c1::emf}} = {{c2::IR}}	
The back emf induced is proportional to {{c1::the speed of rotation}}.	
The current induced in a motor chages with the motors {{c1::speed}}.	
A motor at low speed has a {{c2::high}} current and a {{c1::small}} emf.	
A motor at high speed has a {{c2::low}} current and a {{c1::high}} emf.	
The electrical power supplied to a motor is {{c3::equal to}} the electric power transferred to mechanical power + the elecric power {{c1::wasted}} due to {{c2::resitance}}.	
The {{c1::national grid}} is a network of transformers and cables underground and on pylons.	
Power stations in the UK generate a alternating current at a frequency of {{c2::50Hz}} and a pd of {{c1::25kV}}	
The voltage generated at a power station is stepped {{c1::up}} to {{c2::400kV}} for long distance transmission.	
Long distance transmission of electrical power is {{c1::more}} efficent at high {{c2::voltages}}.	
When the voltage is {{c2::increased}} the current needed to deliver a certain amount of power is {{c1::reduced}}.	
At a high voltage the power wasted through {{c1::cable heating}} is reduced.	
Step down {{c1::transformers}} in the national grid operate in stages.	
Factories in the UK receive all {{c1::3}} phases of AC at {{c2::33kV}} or {{c3::11kV}}	
UK Homes are connected to 'the grid' via local {{c1::substations}}. These supply {{c3::single}} phase ac at {{c2::230V}}	The phases are split between different groups of houses.
Transformers are almost {{c1::100%}} efficent.	
Transformers have {{c1::low resistance}} windings to reduce power wastage due to {{c2::the heating effect of the current}}.	
